City,State,Last Name ,"First Name, Middle In.",Decisions,% Grants,% Denials
New York,NY,Burr, Sarah M.,270,85.9,14.1
New York,NY,Sichel, Helen J.,1702,86.6,13.4
New York,NY,Weisel, Robert D.,638,86.8,13.2
New York,NY,Morace, Philip L.,2136,88.2,11.8
New York,NY,Mulligan, Thomas J.,946,88.8,11.2
New York,NY,Chew, George T.,1760,89.6,10.4
New York,NY,Laforest, Brigitte,1921,90,10
New York,NY,Schoppert, Douglas B.,1470,90.1,9.9
New York,NY,Gordon-Uruakpa, Vivienne E.,1512,90.5,9.5
New York,NY,McManus, Margaret,1860,92.5,7.5
New York,NY,Cassin, Olivia L.,153,92.8,7.2
New York,NY,Brennan, Noel A.,2240,94.6,5.4
New York,NY,Bain, Terry A.,1802,95.3,4.7
New York,NY,Bukszpan, Joanna M.,1194,95.5,4.5
New York,NY,Lamb, Elizabeth A.,1625,96.3,3.7
New York,NY,Leeds, Frederic G.,668,97.8,2.2
New York,NY,Abrams, Steven R.,107,29.9,70.1
Newark,NJ,Reichenberg, Margaret R.,213,1.4,98.6
Newark,NJ,Finston, Leo A.,211,26.1,73.9
Newark,NJ,Garcy, Annie S.,335,63,37
Newark,NJ,Riefkohl, Alberto J.,402,75.4,24.6
Newark,NJ,Khan, Amiena,211,82,18
Newark,NJ,Leeds, Frederic G.,185,84.3,15.7
Oakdale,LA,Reese, Agnelis L.,169,0,100
Oakdale,LA,Beatmann," Jerry A., Sr.",152,6.6,93.4
Oakdale,LA,Duck," John A., Jr.",174,6.9,93.1
Omaha,NE,Morris, Daniel A.,390,11.8,88.2
Omaha,NE,Anderson, Jack L.,433,20.8,79.2
Omaha,NE,Fujimoto, James R.,189,29.6,70.4
Orlando,FL,Grim, James,698,24.8,75.2
Orlando,FL,Lippman, Daniel,414,33.3,66.7
Orlando,FL,Karden, Stuart F.,425,37.2,62.8
Orlando,FL,Ortiz-Segura, Rafael B.,376,42,58
Orlando,FL,Chapman, Kevin J.,482,43.4,56.6
Orlando,FL,Ghartey, Victoria L.,407,43.5,56.5
Pearsall,TX,Harlow, Craig A.,173,15,85
Pearsall,TX,Crossan," Thomas G., Jr.",210,19.5,80.5
Pearsall,TX,Santander, Daniel J.,141,20.6,79.4
Philadelphia,PA,Morley, Steven A.,303,49.5,50.5
Philadelphia,PA,Malloy, Rosalind K.,295,64.7,35.3
Philadelphia,PA,Mills, Miriam K.,272,67.6,32.4
Philadelphia,PA,Honeyman, Charles M.,312,77.6,22.4
Phoenix,AZ,Freerks, LaMonte S.,107,36.4,63.6
Phoenix,AZ,Richardson, John W.,161,85.7,14.3
Portland,OR,Sloan, Andrea H.,509,42.4,57.6
Portland,OR,Bennett, Michael H.,503,51.3,48.7
San Antonio,TX,Burkholder, Gary D.,501,3.4,96.6
San Antonio,TX,Crossan," Thomas G., Jr.",117,17.1,82.9
San Antonio,TX,McPhaul, Glenn P.,180,39.4,60.6
San Antonio,TX,Martinez, Anibal D.,267,41.9,58.1
San Antonio,TX,Zuniga, Bertha A.,250,56,44
San Antonio,TX,Burkhart, Margaret D.,180,76.1,23.9
San Diego,CA,Clemente, Jesus,256,7,93
San Diego,CA,McSeveney, Robert,254,13.4,86.6
San Diego,CA,DePaolo, Zsa Zsa,254,42.9,57.1
San Diego,CA,Bartolomei," Richard J., Jr.",111,44.1,55.9
San Diego,CA,Fernandez, Ignacio P.,213,52.1,47.9
San Diego,CA,Ipema," Henry P., Jr.",220,53.6,46.4
San Diego,CA,Law, Philip S.,114,56.1,43.9
